number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state,kernel,params_gamma_mode,params_gamma_type,params_gamma_value,params_coef0,params_degree,params_gamma_value 
10,0.8262340050423459,2025-09-22 02:19:47.081454,2025-09-22 02:19:47.085122,0 days 00:00:00.003668,0.07380265896572932,0.003662312545606235,"[0.7639050659409764, 0.8087111051217001, 0.9412333559434358, 0.8853040409098899, 0.732016457295728]",0.07717903189284299,"{'kernel': 'linear', 'C': 0.07380265896572932, 'epsilon': 0.003662312545606235}",COMPLETE,linear,,,,,,
11,0.8266871982346192,2025-09-22 02:19:47.085307,2025-09-22 02:19:47.088239,0 days 00:00:00.002932,0.06586744033069315,0.005737691543280197,"[0.7727084570975675, 0.8123692436309045, 0.9375365319533814, 0.885537521276539, 0.7252842372147033]",0.07635732332974131,"{'kernel': 'linear', 'C': 0.06586744033069315, 'epsilon': 0.005737691543280197}",COMPLETE,linear,,,,,,
12,0.7936565829756094,2025-09-22 02:19:47.088438,2025-09-22 02:19:47.092363,0 days 00:00:00.003925,2.475588998870288,0.00955394789697147,"[0.7641552813369717, 0.8136502580559208, 0.8531464690454257, 0.8062955596604464, 0.7310353467792821]",0.042167009238471595,"{'kernel': 'linear', 'C': 2.475588998870288, 'epsilon': 0.00955394789697147}",COMPLETE,linear,,,,,,
13,0.7804388404602408,2025-09-22 02:19:47.092582,2025-09-22 02:19:47.095362,0 days 00:00:00.002780,0.035067313183433195,0.05686906248303912,"[0.7630930979667604, 0.7879586296337411, 0.9017245039797667, 0.7553473541282697, 0.6940706165926662]",0.06805393003732062,"{'kernel': 'linear', 'C': 0.035067313183433195, 'epsilon': 0.05686906248303912}",COMPLETE,linear,,,,,,
14,0.8005865300774178,2025-09-22 02:19:47.095553,2025-09-22 02:19:47.098844,0 days 00:00:00.003291,0.9286793923304076,0.00011290337641647077,"[0.7625621438929258, 0.810849792376549, 0.8970611298742042, 0.7992530293502551, 0.7332065548931547]",0.055498425533882505,"{'kernel': 'linear', 'C': 0.9286793923304076, 'epsilon': 0.00011290337641647077}",COMPLETE,linear,,,,,,
15,0.7900042487868808,2025-09-22 02:19:47.099122,2025-09-22 02:19:47.365668,0 days 00:00:00.266546,638.5848430580046,0.006677676061863546,"[0.7657519263676132, 0.8253478429223438, 0.8244377186880683, 0.8044503689006665, 0.730033387055712]",0.036954575580561914,"{'kernel': 'linear', 'C': 638.5848430580046, 'epsilon': 0.006677676061863546}",COMPLETE,linear,,,,,,
16,0.7985642702619492,2025-09-22 02:19:47.365979,2025-09-22 02:19:47.368845,0 days 00:00:00.002866,0.037805922057241405,0.027594931247927022,"[0.7947736507755417, 0.80759025070278, 0.9149307294945286, 0.7595713615974777, 0.7159553587394177]",0.06630485524060784,"{'kernel': 'linear', 'C': 0.037805922057241405, 'epsilon': 0.027594931247927022}",COMPLETE,linear,,,,,,
17,0.8060439166139339,2025-09-22 02:19:47.369032,2025-09-22 02:19:47.372144,0 days 00:00:00.003112,0.22914924571623904,0.0018756206282287391,"[0.7659867505952362, 0.7965813385189945, 0.9128285102336046, 0.8316283333230615, 0.7231946503987732]",0.06421157163456974,"{'kernel': 'linear', 'C': 0.22914924571623904, 'epsilon': 0.0018756206282287391}",COMPLETE,linear,,,,,,
18,0.4479421429903761,2025-09-22 02:19:47.372393,2025-09-22 02:19:47.375259,0 days 00:00:00.002866,0.00912689570851501,0.11762617934974447,"[0.4910115337602008, 0.5648365654908529, 0.506005951721423, 0.36802813341503315, 0.30982853056437054]",0.09418312288422839,"{'kernel': 'linear', 'C': 0.00912689570851501, 'epsilon': 0.11762617934974447}",COMPLETE,linear,,,,,,
19,0.795967124930162,2025-09-22 02:19:47.375456,2025-09-22 02:19:47.380473,0 days 00:00:00.005017,6.168708754337113,0.020900511909884917,"[0.7711924562314754, 0.8210454264976106, 0.8462586518088004, 0.8150003640658352, 0.7263387260470877]",0.042384717098120674,"{'kernel': 'linear', 'C': 6.168708754337113, 'epsilon': 0.020900511909884917}",COMPLETE,linear,,,,,,
20,0.8084238597212016,2025-09-22 02:19:47.380666,2025-09-22 02:19:47.383895,0 days 00:00:00.003229,0.759104473459618,0.0027025958563271224,"[0.7636419933979449, 0.8037516096514477, 0.9074297387623076, 0.8349128093096669, 0.7323831474846406]",0.060519854468685214,"{'kernel': 'linear', 'C': 0.759104473459618, 'epsilon': 0.0027025958563271224}",COMPLETE,linear,,,,,,
21,0.816240011702494,2025-09-22 02:19:47.384110,2025-09-22 02:19:47.387081,0 days 00:00:00.002971,0.09854444934959487,0.005393764090874056,"[0.7615816514912989, 0.7979994093062099, 0.9309614935472527, 0.86695417386968, 0.7237033302980289]",0.07431855483401771,"{'kernel': 'linear', 'C': 0.09854444934959487, 'epsilon': 0.005393764090874056}",COMPLETE,linear,,,,,,
22,0.7529900500257197,2025-09-22 02:19:47.387268,2025-09-22 02:19:47.390199,0 days 00:00:00.002931,0.03041976705242603,0.004481839128894395,"[0.7427770571974859, 0.7591537477451105, 0.8996412457845228, 0.681518503793816, 0.6818596956076635]",0.0797703940694664,"{'kernel': 'linear', 'C': 0.03041976705242603, 'epsilon': 0.004481839128894395}",COMPLETE,linear,,,,,,
23,0.8173373829074289,2025-09-22 02:19:47.390426,2025-09-22 02:19:47.393147,0 days 00:00:00.002721,0.09004510125384423,0.01237757504006268,"[0.7638382819760262, 0.7994791123527243, 0.9320099031105087, 0.8657702321470321, 0.7255893849508522]",0.07361289904888314,"{'kernel': 'linear', 'C': 0.09004510125384423, 'epsilon': 0.01237757504006268}",COMPLETE,linear,,,,,,
24,0.12645536201836005,2025-09-22 02:19:47.393337,2025-09-22 02:19:47.395823,0 days 00:00:00.002486,0.002956475672932671,0.0031229330380703607,"[0.19292943736258594, 0.23361446958207654, 0.2018802765884956, -0.0028816372620044106, 0.006734263820646569]",0.10261773287414781,"{'kernel': 'linear', 'C': 0.002956475672932671, 'epsilon': 0.0031229330380703607}",COMPLETE,linear,,,,,,
25,0.8263046253919377,2025-09-22 02:19:47.395988,2025-09-22 02:19:47.398644,0 days 00:00:00.002656,0.049398912511857934,0.0012196622243652669,"[0.7975315111864405, 0.8184790433524375, 0.9273697101963929, 0.871494974333985, 0.7166478878904325]",0.07095075886676515,"{'kernel': 'linear', 'C': 0.049398912511857934, 'epsilon': 0.0012196622243652669}",COMPLETE,linear,,,,,,
26,0.6262262139687408,2025-09-22 02:19:47.398839,2025-09-22 02:19:47.401376,0 days 00:00:00.002537,0.014885006967679202,0.0011821783798808122,"[0.6151065587751978, 0.6853609720226201, 0.7221240210067026, 0.5895990389352534, 0.5189404791039303]",0.07165017040150069,"{'kernel': 'linear', 'C': 0.014885006967679202, 'epsilon': 0.0011821783798808122}",COMPLETE,linear,,,,,,
27,0.25163972306382776,2025-09-22 02:19:47.401548,2025-09-22 02:19:47.403976,0 days 00:00:00.002428,0.004948948017398012,0.00022508946203004117,"[0.32365077376626383, 0.3708753271553845, 0.32549356215354686, 0.11582294905410184, 0.12235600318984186]",0.10956056460378581,"{'kernel': 'linear', 'C': 0.004948948017398012, 'epsilon': 0.00022508946203004117}",COMPLETE,linear,,,,,,
28,0.8044039768332807,2025-09-22 02:19:47.404255,2025-09-22 02:19:47.407359,0 days 00:00:00.003104,0.5239182548903395,0.012542202366440705,"[0.7656545651710285, 0.803051180569283, 0.9041576052627374, 0.8247888238000082, 0.7243677093633465]",0.060457389032475474,"{'kernel': 'linear', 'C': 0.5239182548903395, 'epsilon': 0.012542202366440705}",COMPLETE,linear,,,,,,
29,0.8034799978640734,2025-09-22 02:19:47.407594,2025-09-22 02:19:47.410374,0 days 00:00:00.002780,0.1713635775854518,0.0009434666174656926,"[0.762374013434113, 0.7973225590897233, 0.9165072648886875, 0.8306673782321474, 0.7105287736756963]",0.06911130562891386,"{'kernel': 'linear', 'C': 0.1713635775854518, 'epsilon': 0.0009434666174656926}",COMPLETE,linear,,,,,,
30,0.7224394966574972,2025-09-22 02:19:47.410576,2025-09-22 02:19:47.413193,0 days 00:00:00.002617,0.02683311736701485,0.00028384109196930745,"[0.7124645586781415, 0.7483127787726365, 0.8706873780492027, 0.6438888468837467, 0.6368439209037584]",0.0851389072289787,"{'kernel': 'linear', 'C': 0.02683311736701485, 'epsilon': 0.00028384109196930745}",COMPLETE,linear,,,,,,
31,0.8230715333067693,2025-09-22 02:19:47.413366,2025-09-22 02:19:47.416054,0 days 00:00:00.002688,0.0841023923388387,0.002872548374007522,"[0.7571755234705496, 0.8035964830800899, 0.9397339669866891, 0.8678936294136049, 0.7469580635829132]",0.07229656381682784,"{'kernel': 'linear', 'C': 0.0841023923388387, 'epsilon': 0.002872548374007522}",COMPLETE,linear,,,,,,
32,0.82827668296915,2025-09-22 02:19:47.416228,2025-09-22 02:19:47.418824,0 days 00:00:00.002596,0.07056002114971019,0.019683251553637853,"[0.7611530192350204, 0.8187812655866461, 0.9445540136151722, 0.8885502022698502, 0.7283449141390617]",0.07966859149869154,"{'kernel': 'linear', 'C': 0.07056002114971019, 'epsilon': 0.019683251553637853}",COMPLETE,linear,,,,,,
33,0.8111992899922317,2025-09-22 02:19:47.418994,2025-09-22 02:19:47.421905,0 days 00:00:00.002911,0.2544055925304804,0.020464676521065248,"[0.7734663198666234, 0.8024796761677138, 0.9120576495668701, 0.8530147037342349, 0.7149781006257167]",0.067348739417093,"{'kernel': 'linear', 'C': 0.2544055925304804, 'epsilon': 0.020464676521065248}",COMPLETE,linear,,,,,,
34,0.8091798150447023,2025-09-22 02:19:47.422150,2025-09-22 02:19:47.425434,0 days 00:00:00.003284,1.6052073490748255,0.0449306648845362,"[0.799369773023218, 0.8294485931620119, 0.8652124995752147, 0.8069616440716065, 0.7449065653914604]",0.0394529921044825,"{'kernel': 'linear', 'C': 1.6052073490748255, 'epsilon': 0.0449306648845362}",COMPLETE,linear,,,,,,
35,0.20355407960035882,2025-09-22 02:19:47.425626,2025-09-22 02:19:47.428272,0 days 00:00:00.002646,0.004818405394751352,0.2829497323191617,"[0.2804188445790633, 0.3311569419378655, 0.2856927553641361, 0.1749784168252012, -0.054476560704472154]",0.138804772588945,"{'kernel': 'linear', 'C': 0.004818405394751352, 'epsilon': 0.2829497323191617}",COMPLETE,linear,,,,,,
36,0.7914434674352611,2025-09-22 02:19:47.428452,2025-09-22 02:19:47.434510,0 days 00:00:00.006058,10.550446890007112,0.008674443551447154,"[0.7640079507635967, 0.8252526236389796, 0.8313909723605089, 0.8062267805864217, 0.7303390098267989]",0.038584636464144464,"{'kernel': 'linear', 'C': 10.550446890007112, 'epsilon': 0.008674443551447154}",COMPLETE,linear,,,,,,
37,-0.023264118229626284,2025-09-22 02:19:47.434688,2025-09-22 02:19:47.437200,0 days 00:00:00.002512,0.0011014484668021192,0.033280777079967135,"[0.056928851737740205, 0.08984377578007119, 0.07450732512155323, -0.1586462438442542, -0.17895429994324186]",0.11945820681093645,"{'kernel': 'linear', 'C': 0.0011014484668021192, 'epsilon': 0.033280777079967135}",COMPLETE,linear,,,,,,
38,0.655745934666669,2025-09-22 02:19:47.437370,2025-09-22 02:19:47.440184,0 days 00:00:00.002814,0.018101655805486963,0.157092247588146,"[0.68580145346716, 0.7214421814149721, 0.7441768618732918, 0.5668531673777151, 0.560456009200206]",0.07748735884709945,"{'kernel': 'linear', 'C': 0.018101655805486963, 'epsilon': 0.157092247588146}",COMPLETE,linear,,,,,,
39,0.8283872747268202,2025-09-22 02:19:47.440520,2025-09-22 02:19:47.443228,0 days 00:00:00.002708,0.055935701351810925,0.01782502766317874,"[0.7952681176330898, 0.8240158414387935, 0.9277692087842179, 0.8679456788881762, 0.7269375268898242]",0.06760129508901892,"{'kernel': 'linear', 'C': 0.055935701351810925, 'epsilon': 0.01782502766317874}",COMPLETE,linear,,,,,,
40,0.8464505899285986,2025-09-22 02:19:47.443407,2025-09-22 02:19:47.446064,0 days 00:00:00.002657,0.16066330877473223,0.10139068837461754,"[0.8352037094245878, 0.8411457535368847, 0.9214409799989122, 0.8719541735334292, 0.7625083331491788]",0.051913249682567116,"{'kernel': 'linear', 'C': 0.16066330877473223, 'epsilon': 0.10139068837461754}",COMPLETE,linear,,,,,,
41,0.849906356786256,2025-09-22 02:19:47.446231,2025-09-22 02:19:47.448795,0 days 00:00:00.002564,0.1413952848734198,0.1269569883598526,"[0.8363084640547666, 0.8521216914809641, 0.9295890666103308, 0.8488787593158947, 0.7826338024693238]",0.04704422846713519,"{'kernel': 'linear', 'C': 0.1413952848734198, 'epsilon': 0.1269569883598526}",COMPLETE,linear,,,,,,
42,0.8454674459405386,2025-09-22 02:19:47.448953,2025-09-22 02:19:47.451689,0 days 00:00:00.002736,0.20422496693874145,0.09626779805375492,"[0.8324971441797958, 0.8389274593087652, 0.9231124035583059, 0.859589200306355, 0.7732110223494708]",0.0482911053775199,"{'kernel': 'linear', 'C': 0.20422496693874145, 'epsilon': 0.09626779805375492}",COMPLETE,linear,,,,,,
43,0.8452738907806744,2025-09-22 02:19:47.451867,2025-09-22 02:19:47.455211,0 days 00:00:00.003344,0.1705554751486436,0.09474970063231203,"[0.8311426714622844, 0.8366470873550085, 0.927335577974458, 0.8753342125037555, 0.755909904607865]",0.056387549279338464,"{'kernel': 'linear', 'C': 0.1705554751486436, 'epsilon': 0.09474970063231203}",COMPLETE,linear,,,,,,
44,0.8608657106795568,2025-09-22 02:19:47.455426,2025-09-22 02:19:47.458366,0 days 00:00:00.002940,0.38146205771227737,0.46285730671801356,"[0.9072487824297227, 0.9113478055464246, 0.915239724823627, 0.6790505466587933, 0.8914416939392155]",0.09126665248759823,"{'kernel': 'linear', 'C': 0.38146205771227737, 'epsilon': 0.46285730671801356}",COMPLETE,linear,,,,,,
45,0.633849253752814,2025-09-22 02:19:47.458551,2025-09-22 02:19:47.460964,0 days 00:00:00.002413,0.4028115697630866,0.9486851813744572,"[0.7544154558854776, 0.8007857808207988, 0.6908058605137807, 0.21670650588720175, 0.706532665656811]",0.21210328553929453,"{'kernel': 'linear', 'C': 0.4028115697630866, 'epsilon': 0.9486851813744572}",COMPLETE,linear,,,,,,
46,0.867742982807048,2025-09-22 02:19:47.461132,2025-09-22 02:19:47.464050,0 days 00:00:00.002918,1.490216244321638,0.4113315046811205,"[0.9099468049572739, 0.8642256016768064, 0.9118019886003353, 0.7675470376682223, 0.8851934811326018]",0.05306312821473858,"{'kernel': 'linear', 'C': 1.490216244321638, 'epsilon': 0.4113315046811205}",COMPLETE,linear,,,,,,
47,0.8754448567901936,2025-09-22 02:19:47.464237,2025-09-22 02:19:47.466966,0 days 00:00:00.002729,1.7265483122926126,0.4230490610773862,"[0.9044658507246343, 0.8999691478850003, 0.9176898471065028, 0.7700282469695926, 0.8850711912652378]",0.053728253444468056,"{'kernel': 'linear', 'C': 1.7265483122926126, 'epsilon': 0.4230490610773862}",COMPLETE,linear,,,,,,
48,0.8689996316277494,2025-09-22 02:19:47.467166,2025-09-22 02:19:47.469928,0 days 00:00:00.002762,2.0641010355282794,0.5076890367296096,"[0.8993042705143185, 0.9075131374856953, 0.9131666698680163, 0.7393914350947942, 0.8856226451759225]",0.0654629631568576,"{'kernel': 'linear', 'C': 2.0641010355282794, 'epsilon': 0.5076890367296096}",COMPLETE,linear,,,,,,
49,0.8715323429449506,2025-09-22 02:19:47.470106,2025-09-22 02:19:47.474889,0 days 00:00:00.004783,22.555777308120692,0.4348996296005519,"[0.9045373566306892, 0.8934449014674435, 0.9160847197293066, 0.7588756907852211, 0.8847190461120932]",0.05730587377012815,"{'kernel': 'linear', 'C': 22.555777308120692, 'epsilon': 0.4348996296005519}",COMPLETE,linear,,,,,,
0,0.6194620947475667,2025-09-22 02:19:47.483636,2025-09-22 02:19:47.485902,0 days 00:00:00.002266,4.68940096353769,0.006672367170464205,"[0.6150197453394493, 0.6801234901915335, 0.7159171876173317, 0.5769317419662655, 0.5093183086232541]",0.07340791351821459,"{'kernel': 'rbf', 'C': 4.68940096353769, 'gamma': 0.0015782327810795573, 'epsilon': 0.006672367170464205}",COMPLETE,rbf,,manual,0.0015782327810795573,,,
1,0.9076410397733893,2025-09-22 02:19:47.486259,2025-09-22 02:19:47.490188,0 days 00:00:00.003929,51.41096648805749,0.00015339162591163628,"[0.8995246691826864, 0.8732238384058714, 0.9603384871559418, 0.8711716992493242, 0.9339465048731226]",0.03478341695276155,"{'kernel': 'rbf', 'C': 51.41096648805749, 'gamma': 0.035849855803404725, 'epsilon': 0.00015339162591163628}",COMPLETE,rbf,,manual,0.035849855803404725,,,
2,0.8777731120517547,2025-09-22 02:19:47.490458,2025-09-22 02:19:47.492768,0 days 00:00:00.002310,4.418441521199721,0.17123375973163973,"[0.9369299796974977, 0.8493305608618328, 0.8992142111237781, 0.7284373451474286, 0.9749534634282366]",0.08545575043005978,"{'kernel': 'rbf', 'C': 4.418441521199721, 'gamma': 'auto', 'epsilon': 0.17123375973163973}",COMPLETE,rbf,auto,auto,,,,
3,-0.05806791717834392,2025-09-22 02:19:47.492973,2025-09-22 02:19:47.494859,0 days 00:00:00.001886,0.06724850206557247,0.00030771802712506853,"[0.02266904938241654, 0.045741108731545466, 0.037014229804683496, -0.18025768080921378, -0.21550629300115132]",0.11493699737037406,"{'kernel': 'rbf', 'C': 0.06724850206557247, 'gamma': 0.004374364439939076, 'epsilon': 0.00030771802712506853}",COMPLETE,rbf,,manual,0.004374364439939076,,,
4,-0.06118237352191145,2025-09-22 02:19:47.495031,2025-09-22 02:19:47.496890,0 days 00:00:00.001859,0.9355380606452183,0.04467752817973904,"[0.023115426839427466, 0.05050226087638188, 0.041273294631703594, -0.19125647425553094, -0.22954637570153924]",0.1227537775832954,"{'kernel': 'rbf', 'C': 0.9355380606452183, 'gamma': 0.0003570095960030948, 'epsilon': 0.04467752817973904}",COMPLETE,rbf,,manual,0.0003570095960030948,,,
5,-0.12598623712302115,2025-09-22 02:19:47.497057,2025-09-22 02:19:47.498871,0 days 00:00:00.001814,0.07417652034871827,0.7556810141274423,"[-0.02671233852511623, 7.391220034946855e-05, -0.004671864616963228, -0.2534066707916449, -0.34521422388173084]",0.1447484177885018,"{'kernel': 'rbf', 'C': 0.07417652034871827, 'gamma': 0.0001285661779146793, 'epsilon': 0.7556810141274423}",COMPLETE,rbf,,manual,0.0001285661779146793,,,
6,0.8004987447228965,2025-09-22 02:19:47.499039,2025-09-22 02:19:47.502287,0 days 00:00:00.003248,44.75040191350906,0.00022592797420156976,"[0.8181225960498342, 0.9091198571008263, 0.8224709643618762, 0.4765825837948996, 0.9761977223070464]",0.17226940219326473,"{'kernel': 'rbf', 'C': 44.75040191350906, 'gamma': 'auto', 'epsilon': 0.00022592797420156976}",COMPLETE,rbf,auto,auto,,,,
